municipio_id,municipio_nome,microrregiao_id,microrregiao_nome,mesorregiao_id,mesorregiao_nome,regiao_imediata_id,regiao_imediata_nome,regiao_intermediaria_id,regiao_intermediaria_nome
1700251,Abreulândia,17003,Miracema do Tocantins,1701,Ocidental do Tocantins,170003,Paraíso do Tocantins,1701,Palmas
1700301,Aguiarnópolis,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170008,Tocantinópolis,1702,Araguaína
1700350,Aliança do Tocantins,17005,Gurupi,1701,Ocidental do Tocantins,170010,Gurupi,1703,Gurupi
1700400,Almas,17008,Dianópolis,1702,Oriental do Tocantins,170011,Dianópolis,1703,Gurupi
1700707,Alvorada,17005,Gurupi,1701,Ocidental do Tocantins,170010,Gurupi,1703,Gurupi
1701002,Ananás,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170005,Araguaína,1702,Araguaína
1701051,Angico,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170005,Araguaína,1702,Araguaína
1701101,Aparecida do Rio Negro,17006,Porto Nacional,1702,Oriental do Tocantins,170001,Palmas,1701,Palmas
1701309,Aragominas,17002,Araguaína,1701,Ocidental do Tocantins,170005,Araguaína,1702,Araguaína
1701903,Araguacema,17003,Miracema do Tocantins,1701,Ocidental do Tocantins,170003,Paraíso do Tocantins,1701,Palmas
1702000,Araguaçu,17004,Rio Formoso,1701,Ocidental do Tocantins,170010,Gurupi,1703,Gurupi
1702109,Araguaína,17002,Araguaína,1701,Ocidental do Tocantins,170005,Araguaína,1702,Araguaína
1702158,Araguanã,17002,Araguaína,1701,Ocidental do Tocantins,170005,Araguaína,1702,Araguaína
1702208,Araguatins,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170009,Araguatins,1702,Araguaína
1702307,Arapoema,17002,Araguaína,1701,Ocidental do Tocantins,170005,Araguaína,1702,Araguaína
1702406,Arraias,17008,Dianópolis,1702,Oriental do Tocantins,170011,Dianópolis,1703,Gurupi
1702554,Augustinópolis,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170009,Araguatins,1702,Araguaína
1702703,Aurora do Tocantins,17008,Dianópolis,1702,Oriental do Tocantins,170011,Dianópolis,1703,Gurupi
1702901,Axixá do Tocantins,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170009,Araguatins,1702,Araguaína
1703008,Babaçulândia,17002,Araguaína,1701,Ocidental do Tocantins,170005,Araguaína,1702,Araguaína
1703057,Bandeirantes do Tocantins,17002,Araguaína,1701,Ocidental do Tocantins,170007,Colinas do Tocantins,1702,Araguaína
1703073,Barra do Ouro,17007,Jalapão,1702,Oriental do Tocantins,170005,Araguaína,1702,Araguaína
1703107,Barrolândia,17003,Miracema do Tocantins,1701,Ocidental do Tocantins,170003,Paraíso do Tocantins,1701,Palmas
1703206,Bernardo Sayão,17003,Miracema do Tocantins,1701,Ocidental do Tocantins,170007,Colinas do Tocantins,1702,Araguaína
1703305,Bom Jesus do Tocantins,17006,Porto Nacional,1702,Oriental do Tocantins,170006,Guaraí,1702,Araguaína
1703602,Brasilândia do Tocantins,17003,Miracema do Tocantins,1701,Ocidental do Tocantins,170007,Colinas do Tocantins,1702,Araguaína
1703701,Brejinho de Nazaré,17005,Gurupi,1701,Ocidental do Tocantins,170002,Porto Nacional,1701,Palmas
1703800,Buriti do Tocantins,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170009,Araguatins,1702,Araguaína
1703826,Cachoeirinha,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170008,Tocantinópolis,1702,Araguaína
1703842,Campos Lindos,17007,Jalapão,1702,Oriental do Tocantins,170005,Araguaína,1702,Araguaína
1703867,Cariri do Tocantins,17005,Gurupi,1701,Ocidental do Tocantins,170010,Gurupi,1703,Gurupi
1703883,Carmolândia,17002,Araguaína,1701,Ocidental do Tocantins,170005,Araguaína,1702,Araguaína
1703891,Carrasco Bonito,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170009,Araguatins,1702,Araguaína
1703909,Caseara,17003,Miracema do Tocantins,1701,Ocidental do Tocantins,170003,Paraíso do Tocantins,1701,Palmas
